,index,zip,construction_cost,Total:,Male:,Female:
0,28,37220,522454.4117647059,5880,2994,2886
1,24,37215,519486.5963636364,22379,9989,12390
2,15,37205,500126.2694300518,23790,10824,12966
3,14,37204,387631.08056872035,15452,6908,8544
4,3,37064,377426.0,58937,27951,30986
5,2,37027,360214.68720379146,56117,27888,28229
6,12,37189,356748.1818181818,4016,1642,2374
7,22,37212,342385.3510638298,20803,9757,11046
8,6,37080,277918.9318181818,7394,3703,3691
9,8,37122,275976.6666666667,58323,29256,29067
10,4,37072,270464.3333333333,31492,15327,16165
11,13,37203,267568.79802955664,15091,7412,7679
12,16,37206,264748.13636363635,26382,12473,13909
13,23,37214,259257.38759689924,30528,14968,15560
14,5,37076,254506.39811320754,40161,19600,20561
15,19,37209,251972.73733719246,38664,18251,20413
16,21,37211,251122.8046357616,75955,39340,36615
17,1,37015,248450.33333333334,17665,9112,8553
18,29,37221,247948.5915492958,41017,19437,21580
19,20,37210,239748.54644808744,17248,8731,8517
20,11,37143,228813.2,4167,2050,2117
21,25,37216,223912.28289473685,17848,8877,8971
22,0,37013,216590.25174381738,97939,47658,50281
23,18,37208,214088.9387755102,18011,7917,10094
24,27,37218,209554.64242424243,15721,7083,8638
25,17,37207,197090.49378109453,39544,17866,21678
26,10,37138,185427.31935483872,23784,11320,12464
27,9,37135,184345.0975,14256,6919,7337
28,7,37115,179405.99444444446,40343,19376,20967
29,26,37217,168847.0291262136,30146,15018,15128
