,zip,Total:,Male:,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Female:,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
2,37013,97939,47658,1107,210,620,2842,4329,4366,3969,3337,3512,2778,2260,774,913,764,532,829,401,293,103,50281,1243,318,533,2226,4877,5966,4434,2978,2968,2899,2785,1236,1286,871,757,1019,571,315,233
3,37015,17665,9112,203,111,27,393,621,639,591,445,571,629,712,349,319,163,316,326,296,133,85,8553,96,105,95,229,510,574,669,470,475,752,825,185,331,280,266,480,256,212,110
4,37027,56117,27888,673,179,263,1177,1154,1012,1428,2181,2122,1916,2070,829,1156,459,1046,1062,604,302,319,28229,507,210,226,1057,879,1264,1769,1958,2496,2043,2311,770,1086,786,892,1145,748,538,280
5,37062,12185,5990,251,171,67,293,342,196,386,415,490,412,441,148,184,96,200,172,130,89,28,6195,146,34,126,322,243,369,394,410,490,440,391,182,247,122,191,197,217,106,50
6,37064,58937,27951,790,475,210,743,1169,1501,2224,1824,2122,2099,1980,823,1126,684,802,943,610,431,293,30986,623,319,149,926,1724,1714,1867,2181,2353,2232,2365,998,1166,798,731,1279,816,590,769
7,37072,31492,15327,301,195,312,497,968,1468,795,584,1091,867,963,582,662,521,638,570,339,224,259,16165,392,172,57,304,1454,1118,871,817,921,1419,1283,594,379,403,668,814,596,333,478
8,37073,14785,7373,272,76,0,210,438,391,585,477,531,477,567,199,174,125,126,303,229,138,34,7412,143,39,60,226,591,400,432,441,590,528,479,160,321,134,149,339,290,120,130
9,37075,65986,31603,819,184,478,759,1962,1971,1948,2455,2579,2613,1786,846,937,751,820,1122,654,520,304,34383,713,356,214,1052,1671,2034,2516,2743,2571,2466,2288,725,1406,843,1018,1398,874,663,725
10,37076,40161,19600,307,131,210,919,1801,1876,1408,1645,1211,1240,1263,562,608,193,520,537,333,295,205,20561,218,85,181,1140,1855,1890,1823,1340,1317,1200,1380,704,551,400,484,850,477,524,296
11,37080,7394,3703,63,17,6,141,263,110,235,205,394,235,370,121,266,180,202,93,159,69,41,3691,129,29,34,90,230,166,86,187,339,324,490,73,162,56,192,135,115,64,81
12,37082,6073,3013,132,91,12,85,113,109,200,206,307,307,318,83,65,113,76,85,74,14,5,3060,39,81,72,74,111,167,208,187,235,187,301,101,186,82,68,73,84,66,35
13,37086,34429,17045,407,207,203,783,1447,1222,998,1186,1339,1213,913,267,340,180,223,209,192,94,35,17384,338,385,244,579,1313,1451,1274,1221,1180,1189,897,311,482,310,240,311,205,131,51
14,37115,40343,19376,368,227,271,602,1709,1812,1047,1576,831,1416,1385,410,812,350,429,577,285,212,174,20967,402,157,249,890,1569,1503,1437,1375,1426,1264,1362,553,657,497,691,741,405,484,444
15,37122,58323,29256,609,256,331,801,1416,1585,1958,2389,2525,1898,1951,800,778,749,897,1065,812,264,184,29067,526,267,126,818,1620,1925,1965,2373,2349,2020,2011,705,1138,772,976,1251,654,464,289
16,37135,14256,6919,202,54,106,258,237,320,569,693,548,624,407,135,170,123,161,146,81,47,28,7337,299,0,133,113,194,494,598,643,703,388,414,170,285,95,111,148,130,26,59
17,37138,23784,11320,323,192,42,169,507,702,888,798,760,988,696,446,592,235,589,357,269,155,114,12464,102,85,49,267,669,749,1114,853,741,964,905,434,403,299,602,438,316,231,193
18,37143,4167,2050,47,24,30,67,165,90,171,128,106,261,162,30,52,49,48,93,46,31,0,2117,55,40,7,43,119,82,134,181,173,260,115,69,30,32,65,106,66,59,21
19,37189,4016,1642,16,0,0,13,96,91,218,117,84,66,93,104,72,68,28,111,69,50,0,2374,22,11,0,38,256,141,293,171,117,159,177,83,79,87,47,134,27,47,54
20,37201,1619,1245,94,14,72,121,213,133,169,76,64,102,72,0,31,48,0,6,0,0,0,374,0,0,0,0,42,121,0,0,0,22,38,0,86,34,0,0,0,0,0
21,37203,15091,7412,149,82,211,535,1500,1285,377,459,198,465,513,227,195,128,211,141,60,38,17,7679,63,131,222,1027,1976,779,663,300,341,278,334,65,147,127,79,122,110,49,39
22,37204,15452,6908,434,172,108,349,968,708,553,455,332,319,392,153,153,140,87,141,64,32,59,8544,618,266,309,481,1253,893,548,391,359,423,361,177,193,126,164,188,144,54,75
