,permit#,permit_type_description,permit_subtype_description,date_entered,date_issued,construction_cost,address,city,state,zip,subdivision/lot,contact,purpose,council_district
0,2021013289,Building Residential - New,Duplex,3/5/2021,5/6/2021,349171,712  47TH AVE N,NASHVILLE,TN,37209,UNIT A 712 47TH AVENUE NORTH,"SAPPHIRE DEVELOPMENT, LLC","To construct ...Unit A� of HPR detached duplex with 2880sf heated and cooled, 80sf porches/decks and 515sf attached garage.  25.5' min front s/b; 10' min side street s/b; 5' min interior side s/b; 20' min rear s/b.  corner lot.  units detached.  min required distance between structures is 6' min with no bump outs.  max allowed height is 45' three floors max.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",20.0
1,2021013302,Building Residential - New,Duplex,3/5/2021,5/6/2021,349656,4607  INDIANA AVE,NASHVILLE,TN,37209,UNIT B 712 47TH AVENUE NORTH,"SAPPHIRE DEVELOPMENT, LLC","To construct ...Unit B� of HPR detached duplex with 2884sf heated/cooled, 10sf porches/decks and 518sf attached garage.  25.5' min front s/b; 10' min side street s/b; 5' min interior side s/b; 20' min rear s/b.  corner lot.  units detached.  min required distance between structures is 6' min with no bump outs.  max allowed height is 45' three floors max.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",20.0
2,2021026248,Building Residential - Rehab,Duplex,4/27/2021,5/6/2021,50000,4157  APACHE TRL,ANTIOCH,TN,37013,LOT 198 HAYWOOD HILLS SEC. 3,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),"to conduct interior and exterior renovations to existing duplex. exterior to be roof, no change to the footprint.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property. 
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",30.0
3,2021013702,Building Residential - New,Duplex,3/8/2021,5/6/2021,291000,407B S 10TH ST,NASHVILLE,TN,37206,UNIT B 407 SOUTH 10TH STREET COTTAGES,TOUCHSTONE BUILDERS INC,"This permit to construct 407 S. 10th street unit B of new HPR/duplex family residence with 2661 sq ft of living space, 440 sq ft detached garage, and 264 sq ft of porches and decks. Minimum 5 ft side setbacks, minimum front setback at 55.22 ft and 20 ft minimum rear setback. Max allowed height 41.95'. Must conform to all easements on property. Maximum height of 1.5 to width ratio from natural grade. Maximum building coverage on total parcel not to exceed 40%..... Pursuant # 2006-1263 Metro Code of Laws, I (holder OF permit) hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property. Sidewalks are NOT required for this project. For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. No more than three signs are required. must comply fully with metro council bills 2014-725 and 2014-770",6.0
4,2021025566,Building Residential - New,Duplex,4/25/2021,5/7/2021,230114,1704  MCKINNEY AVE,NASHVILLE,TN,37208,UNIT 2 1700 MCKINNEY AVENUE TOWNHOMES,"JONES CONSTRUCTION, DWAYNE MARK JONES DBA","to construct Unit 2 of an attached duplex single family residence with 1898  SF of living space, 432 SF garage, and 84 SF of porches/decks  - per Master permit 2020071303",2.0
5,2021025565,Building Residential - New,Duplex,4/25/2021,5/7/2021,227204,1706  MCKINNEY AVE,NASHVILLE,TN,37208,UNIT 1 1700 MCKINNEY AVENUE TOWNHOMES,"JONES CONSTRUCTION, DWAYNE MARK JONES DBA","to construct Unit 1 of an attached duplex single family residence with 1874  SF of living space, 432 SF garage, and 84 SF of porches/decks  - per Master permit 2020071303",2.0
6,2021025568,Building Residential - New,Duplex,4/25/2021,5/7/2021,230114,1700  MCKINNEY AVE,NASHVILLE,TN,37208,UNIT 4 1700 MCKINNEY AVENUE TOWNHOMES,"JONES CONSTRUCTION, DWAYNE MARK JONES DBA","to construct Unit 4 of an attached duplex single family residence with 1898  SF of living space, 432 SF garage, and 206 SF of porches/decks  - per Master permit 2020071303",2.0
7,2021025567,Building Residential - New,Duplex,4/25/2021,5/7/2021,227204,1702  MCKINNEY AVE,NASHVILLE,TN,37208,UNIT 3 1700 MCKINNEY AVENUE TOWNHOMES,"JONES CONSTRUCTION, DWAYNE MARK JONES DBA","to construct Unit 3 of an attached duplex single family residence with 1874  SF of living space, 432 SF garage, and 84 SF of porches/decks  - per Master permit 2020071303",2.0
8,2021016237,Building Residential - New,Duplex,3/17/2021,5/10/2021,242480,2123B  12TH AVE N,NASHVILLE,TN,37208,UNIT B TWENTYONE-TWENTYTHREE TWELFTH AVENUE NORTH,"JACKSON BUILDERS,LLC","To construct ...Unit B� of HPR attached duplex with 2000sf heated and cooled and 265sf porches/decks.  units attached.  max allowed height is 45' three floors max.  36.7' min front s/b; must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",2.0
9,2021015462,Building Residential - New,Duplex,3/15/2021,5/3/2021,539033,1307  CLIFTON LN,NASHVILLE,TN,37215,UNIT A 1307 CLIFTON LANE HOMES,PAROS GROUP LLC,"To construct ...Unit A� of HPR detached duplex with 4446 sf heated and cooled 555 sf garage and 205 sf porches/decks. 60' min front s/b 5' min side s/b 20' min rear s/b 3 story/45' max height 6' min distance between units.

Sidewalk in lieu collected in error. Refund required.",25.0
